Subject,SPOC_LAMBDA,SPOC_CORR,SPOC_Pvalue,CSP_acc,CSP_Pvalue,LSTM_acc,LSTM_Pvalue
NVR_S02,0.0140881747526001,0.00727104841529034,1,0.5555555555555556,0.15653146957815142,0.55,0.20499173682591798
NVR_S04,-0.108923517898545,-0.103771368554453,1,0.5777777777777777,0.04387101145390354,0.5944444444444444,0.013682544934001693
NVR_S06,-0.161335679316308,-0.2096853468953,0.254,0.5555555555555556,0.15653146957815142,0.5944444444444444,0.013682544934001693
NVR_S08,-0.277155419611624,-0.193997042958255,0.104,0.6555555555555556,3.619486811754803e-5,0.6222222222222222,0.0012860379064583362
NVR_S14,-0.112080894089971,-0.156215381631762,0.448,0.5333333333333333,0.4123505574140874,0.5888888888888889,0.020597045422768065
NVR_S18,-0.39129186256205,-0.275295318963603,0.084,0.5666666666666667,0.0861873133286952,0.6166666666666667,0.002155107552530419
NVR_S21,-0.407084370662043,-0.137254363165256,0.67,0.5611111111111111,0.11727865310746016,0.5888888888888889,0.020597045422768065
NVR_S22,-0.521078213595815,-0.256774082053665,0,0.48333333333333334,0.7094997422022834,0.5444444444444444,0.2634986448445628
NVR_S25,-1.6117542497281,-0.402931372135073,0,0.7111111111111111,1.3962041600949077e-8,0.7111111111111111,1.3962041600949077e-8
NVR_S28,-0.483314661640968,-0.198794632411109,0.056,0.5555555555555556,0.15653146957815142,0.5833333333333334,0.030369539446891223
NVR_S29,-0.437376546446889,-0.0878010974642473,0.058,0.5777777777777777,0.04387101145390354,0.5833333333333334,0.030369539446891223
NVR_S31,-0.288118551597974,-0.0966468926478308,0.034,0.65,6.950540596854451e-5,0.5388888888888889,0.3325790904569385
NVR_S34,-0.0161720571657929,-0.0597523038427157,1,0.7166666666666667,5.5326988137008594e-9,0.6666666666666666,9.144585884610195e-6
NVR_S35,-0.194652868357802,-0.277714487640882,0.478,0.5777777777777777,0.04387101145390354,0.6222222222222222,0.0012860379064583362
NVR_S36,-0.312001213843123,-0.331150632941177,0.22,0.6888888888888889,4.3671417244752387e-7,0.6333333333333333,4.2843591453401293e-4
NVR_S37,-1.51185336963345,-0.301863529465259,0.002,0.6,0.008900553941770724,0.6611111111111111,1.8410428417439767e-5
NVR_S39,-0.288039894105341,-0.3355386093168,0.114,0.6666666666666666,9.144585884610195e-6,0.6555555555555556,3.619486811754803e-5
NVR_S42,-0.177259048519596,-0.159174195417597,0.72,0.6333333333333333,4.2843591453401293e-4,0.6333333333333333,4.2843591453401293e-4
NVR_S44,-0.688117926624626,-0.223215413582391,0.014,0.6777777777777778,2.0988443277939973e-6,0.6555555555555556,3.619486811754803e-5
