Subject,SA_SPOC_LAMBDA,SA_SPOC_CORR,SA_SPOC_Pvalue,SA_BLOCK_CSP_perm_auc,SA_BLOCK_CSP_auc,SA_BLOCK_CSP_Pvalue,SA_BLOCK_LOGREG_perm_auc,SA_BLOCK_LOGREG_auc,SA_BLOCK_LOGREG_Pvalue,SBA_BLOCK_CSP_perm_auc,SBA_BLOCK_CSP_auc,SBA_BLOCK_CSP_Pvalue,SBA_BLOCK_LOGREG_perm_auc,SBA_BLOCK_LOGREG_auc,SBA_BLOCK_LOGREG_Pvalue
NVR_S02,-0.1270648,-0.019023169523765,0.966,0.521538810293267,0.515959595959596,0.508491508491508,0.483523612922571,0.358566468253968,0.872,0.518246401823405,0.573418803418803,0.231768231768232,0.475934040190215,0.474830447330447,0.538
NVR_S04,-0.1760816,-0.101111593964779,0.836,0.515773156932835,0.588398944805195,0.154845154845155,0.501366859852559,0.482012987012987,0.59,0.51427870335737,0.465147642390289,0.762237762237762,0.521304948547158,0.452629068462402,0.732
NVR_S06,-0.1203157,-0.137707277015255,0.838,0.510290327335666,0.559892451298701,0.254745254745255,0.526130814038805,0.451454725829726,0.772,0.493272104194948,0.5734375,0.134865134865135,0.543397009486904,0.593021484688151,0.372
NVR_S08,-0.1894616,-0.178490902671113,0.608,0.517216329951602,0.551738816738817,0.33966033966034,0.514413505701475,0.577058531746032,0.242,0.535376179045398,0.561358225108225,0.370629370629371,0.519333503421175,0.607209595959596,0.088
NVR_S14,-0.1428064,-0.123115788016188,0.112,0.500866650019334,0.449570707070707,0.766233766233766,0.498008008920918,0.506316287878788,0.51,0.510564783590456,0.435260742344076,0.904095904095904,0.507457042538248,0.572535473785474,0.186
NVR_S18,-0.323179,-0.241806070013001,0.224,0.502772349771385,0.504066558441558,0.484515484515485,0.497200572575573,0.583325702075702,0.132,0.507388472419352,0.577569456006956,0.154845154845155,0.513838534399943,0.647968405051738,0.028
NVR_S21,-0.2502602,-0.284214716033292,0.952,0.503386177202151,0.534621212121212,0.351648351648352,0.521131944444444,0.446875,0.778,0.542309227875656,0.576632395382395,0.322677322677323,0.539510383597884,0.626388888888889,0.236
NVR_S22,-0.1582522,-0.243696812978129,0.416,0.50507053078549,0.468082195582196,0.668331668331668,0.50327149105469,0.569609938672439,0.254,0.521307055478043,0.503141339869281,0.612387612387612,0.542275727387803,0.563838784672118,0.528
NVR_S25,-0.7426511,-0.331108500708185,0,0.527333370492217,0.624545454545455,0.214785214785215,0.489051273042709,0.640600198412698,0.008,0.563901983188065,0.695569985569986,0.0589410589410589,0.50227695028533,0.526874098124098,0.456
NVR_S28,-0.1435998,-0.171263452281715,0.832,0.521080409603348,0.509081581998249,0.54045954045954,0.486451310549569,0.568329725829726,0.144,0.53644807315103,0.568904320987654,0.330669330669331,0.51824389347564,0.537002966169633,0.394
NVR_S29,-0.1326016,-0.219134543334459,0.976,0.508518176446776,0.48686553030303,0.623376623376623,0.510086807408586,0.442385912698413,0.74,0.564156963135736,0.651114718614718,0.131868131868132,0.535865888205677,0.682956349206349,0.1
NVR_S31,-0.203153,-0.1755680400888,0.008,0.508301789597363,0.653304473304473,0.041958041958042,0.507048598710318,0.723958333333333,0.006,0.516661905643745,0.650788239538239,0.02997002997003,0.5201917930426,0.388877264710598,0.912
NVR_S34,-0.1273668,-0.193864787783665,0.87,0.534515811346805,0.748095238095238,0.00899100899100899,0.512841997031298,0.68780753968254,0.014,0.545601777927074,0.741838023088023,0.00999000999000999,0.492715725702318,0.744444444444445,0
NVR_S35,-0.1903357,-0.2979152480932,0.452,0.514181974990398,0.544213841713842,0.336663336663337,0.516281874202462,0.442863455988456,0.794,0.531049628063147,0.485027130186444,0.726273726273726,0.515278103758367,0.582575344952796,0.19
NVR_S36,-0.2636009,-0.29026582421872,0.638,0.532192955013875,0.623338744588745,0.152847152847153,0.507515073985483,0.635380140692641,0.102,0.542989690169049,0.627345679012346,0.191808191808192,0.511818435216679,0.685277777777778,0.014
NVR_S37,-0.6617822,-0.062368664331723,0,0.538099036791651,0.687619047619048,0.00899100899100899,0.513211648239877,0.621420905483406,0.04,0.566300081470842,0.525536562203229,0.637362637362637,0.553738899518141,0.50234126984127,0.7
NVR_S39,-0.2885807,-0.271702897605269,0.176,0.519676753343727,0.768362694404361,0.000999000999000999,0.535711663122206,0.574885912698413,0.368,0.531266716266755,0.655298627026568,0.045954045954046,0.509157405840883,0.601841654170086,0.162
NVR_S42,-0.1397845,-0.17467872928003,0.892,0.551329374772879,0.676515151515152,0.0769230769230769,0.52753292906746,0.575208333333333,0.278,0.558136237286806,0.731800144300144,0.025974025974026,0.542334740799227,0.560781348281348,0.446
NVR_S44,-0.1989779,-0.039796942519567,0.716,0.521736827329416,0.648109668109668,0.036963036963037,0.517271463884165,0.683020833333333,0.014,0.545615721691255,0.74141975308642,0.00699300699300699,0.501961797227121,0.701234567901235,0.02
