Subject,SA_SPOC_LAMBDA,SA_SPOC_CORR,SA_SPOC_Pvalue,SA_BLOCK_CSP_perm_auc,SA_BLOCK_CSP_auc,SA_BLOCK_CSP_Pvalue,SA_BLOCK_LOGREG_perm_auc,SA_BLOCK_LOGREG_auc,SA_BLOCK_LOGREG_Pvalue,SBA_BLOCK_CSP_perm_auc,SBA_BLOCK_CSP_auc,SBA_BLOCK_CSP_Pvalue,SBA_BLOCK_LOGREG_perm_auc,SBA_BLOCK_LOGREG_auc,SBA_BLOCK_LOGREG_Pvalue
NVR_S02,-0.06453741,-0.0780333576794113,0.793,0.527800108362826,0.614838113275613,0.147852147852148,0.49557656977805000,0.3944146825396830,0.93,0.535563519656065,0.659396544813211,0.038961038961039,0.4849021935626100,0.6069444444444450,0.104
NVR_S03,-0.234915,-0.300137989936464,0.076,0.531053947011914,0.531822691197691,0.502497502497502,0.5168868738955050,0.5071279761904760,0.602,0.538052728734754,0.577915556665557,0.282717282717283,0.503938422438168,0.3888747826247830,0.864
NVR_S04,-0.3348754,-0.209995177343264,0.082,0.500175688131245,0.574010416666667,0.123876123876124,0.5089159132035840,0.5428380647130650,0.418,0.518584760403883,0.608787986704653,0.0609390609390609,0.5125569781081160,0.5761067019400350,0.208
NVR_S05,-0.223739,-0.0824971124309841,0.59,0.513607650709904,0.606902356902357,0.0809190809190809,0.5403990227098190,0.6145170454545450,0.266,0.52931241760733,0.770258916323731,0.002997002997003,0.5327387127602490,0.7237164124909220,0.026
NVR_S06,-0.167209,-0.180076139336131,0.4,0.494633643406237,0.661814574314574,0.004995004995005,0.49843656759301100,0.5488039738039740,0.26,0.547030462887609,0.661855158730159,0.04995004995005,0.5222614780878320,0.6257875457875460,0.098
NVR_S08,-0.2339457,-0.245342789559927,0.101,0.515575809520066,0.483915025946276,0.658341658341658,0.5102937751399290,0.5458085317460320,0.39,0.519981955532011,0.55777417027417,0.314685314685315,0.5207106628061740,0.5893217893217900,0.196
NVR_S11,-0.2393042,-0.248574515889172,0.032,0.501092806615714,0.590692640692641,0.0659340659340659,0.5293950254859780,0.4163897907647910,0.792,0.522318011311519,0.67277962823306,0.01998001998002,0.5325124022896200,0.6109920634920640,0.306
NVR_S13,-0.3769577,-0.253942327370543,0.332,0.541536907356588,0.713030303030303,0.0609390609390609,0.5453778645833330,0.528125,0.604,0.571625909755394,0.527079178537512,0.692307692307692,0.5529167146124260,0.5539329805996470,0.608
NVR_S14,-0.1973217,-0.360068227260499,0.01,0.50252133901021,0.610674828643579,0.0819180819180819,0.4788927784115140,0.5239285714285720,0.402,0.502166496079126,0.618326118326119,0.0559440559440559,0.5154375869236580,0.4888888888888890,0.688
NVR_S15,-0.1194632,-0.174208238201866,0.64,0.528687096492297,0.492109487734488,0.686313686313686,0.5383913076674760,0.5556646825396830,0.486,0.510192201317435,0.516736111111111,0.471528471528472,0.5322007522173810,0.616017316017316,0.286
NVR_S17,-0.2958016,-0.206303449545252,0.339,0.513317583024132,0.598129734848485,0.116883116883117,0.5279786068310550,0.4325396825396830,0.902,0.54809530614145,0.553412351537352,0.472527472527473,0.5627039812430230,0.5695466570466570,0.496
NVR_S18,-0.1532636,-0.178218524991532,0.132,0.515614360026341,0.459711312992563,0.817182817182817,0.5135033848346870,0.4197727272727270,0.848,0.521605542225049,0.578370522451405,0.224775224775225,0.5133702856414520,0.4979365079365080,0.608
NVR_S21,-0.3937346,-0.337219889541485,0.164,0.558763691796796,0.780378787878788,0.020979020979021,0.5103842013888890,0.5,0.57,0.565360424945689,0.609814814814815,0.383616383616384,0.4863516380857900,0.4730555555555560,0.604
NVR_S22,-0.1993422,-0.149252890568279,0.538,0.513385243362926,0.563500631313131,0.202797202797203,0.5150359062077140,0.4180505952380950,0.806,0.516935334120965,0.614231601731602,0.0539460539460539,0.5267470062264700,0.5778659611992950,0.314
NVR_S25,-0.154806,-0.211083437503215,0.63,0.531731172806195,0.629845102813853,0.105894105894106,0.5232579596929750,0.5849476911976910,0.238,0.548499556534302,0.580239898989899,0.354645354645355,0.5533925662781410,0.5680194805194810,0.486
NVR_S26,-0.2822456,-0.259547425894662,0.467,0.534650457050046,0.619510582010582,0.176823176823177,0.49681698316702000,0.37860164141414100,0.93,0.567193059104857,0.788938492063492,0.018981018981019,0.5627389256247260,0.5398042929292930,0.696
NVR_S28,-0.3364955,-0.159231290181232,0.105,0.516053505006416,0.571485250860251,0.224775224775225,0.5037426581630450,0.6572486541236540,0.036,0.517782701968014,0.626486592111592,0.0609390609390609,0.5031283981203350,0.4810956790123460,0.642
NVR_S29,-0.09911235,-0.095762660065512,0.684,0.501618809512453,0.488794018481518,0.565434565434565,0.5169054581419460,0.5680393217893220,0.332,0.512308674415693,0.48763606083459,0.638361638361638,0.5285717123303540,0.6047435897435900,0.214
NVR_S30,-0.3662152,-0.309573891875718,0.163,0.527278275014227,0.650392992424242,0.046953046953047,0.5073334367591730,0.5945526695526700,0.184,0.539510867859854,0.721051587301587,0.031968031968032,0.5186643827515470,0.7443346160012830,0.004
NVR_S34,-0.1975688,-0.322035617453135,0.142,0.529012912633759,0.622574404761905,0.13986013986014,0.5083477504423490,0.4356944444444450,0.78,0.535163285235919,0.680265151515152,0.02997002997003,0.521735290208712,0.6716666666666670,0.036
NVR_S35,-0.2081425,-0.259067814154305,0.244,0.5197932008317,0.484164862914863,0.673326673326673,0.5252838222970810,0.6818083536833540,0.022,0.529885264122573,0.723660213243547,0.004995004995005,0.5212078248640170,0.7556813937696290,0.004
NVR_S36,-0.2579267,-0.359962185420707,0.066,0.51633611524877,0.577651515151515,0.233766233766234,0.5050550719840680,0.6261174242424240,0.036,0.533349101836827,0.592694805194805,0.271728271728272,0.5161279092266670,0.7151984126984130,0.012
NVR_S37,-0.2264404,-0.314122216824273,0.171,0.512299503094321,0.565631313131313,0.235764235764236,0.5027894335131910,0.6054326923076920,0.1,0.520664914694436,0.62659188034188,0.120879120879121,0.505004365695417,0.5534088134088130,0.392
NVR_S39,-0.187372,-0.19276448417774,0.685,0.531656488021458,0.283977133977134,1,0.5086393935085530,0.5797321428571430,0.206,0.546328595964196,0.424792117604618,0.933066933066933,0.4777056203960800,0.5471527777777780,0.18
NVR_S42,-0.16807,-0.129156706999955,0.67,0.55114582198989,0.514264069264069,0.621378621378621,0.5351359717277870,0.444657738095238,0.81,0.565439373027458,0.502760191197691,0.787212787212787,0.5325519764631980,0.538858225108225,0.576
NVR_S44,-0.2905984,-0.209136115683987,0.268,0.53032389769381,0.647752525252525,0.0999000999000999,0.5227501166811580,0.5861523892773890,0.306,0.54283569791049,0.706229156645823,0.016983016983017,0.5399579477327210,0.6556078643578640,0.094
